protocol,model,overlap_definition,author_seen,n,accuracy
lodo,bert-DecisionTree,author_seen_in_development,False,548,0.551094890510949
lodo,bert-DecisionTree,author_seen_in_development,True,112,0.5803571428571429
lodo,bert-DecisionTree,author_seen_in_fit_train,False,556,0.5539568345323741
lodo,bert-DecisionTree,author_seen_in_fit_train,True,104,0.5673076923076923
lodo,bert-KNeighbors,author_seen_in_development,False,548,0.6405109489051095
lodo,bert-KNeighbors,author_seen_in_development,True,112,0.6428571428571429
lodo,bert-KNeighbors,author_seen_in_fit_train,False,556,0.6438848920863309
lodo,bert-KNeighbors,author_seen_in_fit_train,True,104,0.625
lodo,bert-LightGBM,author_seen_in_development,False,548,0.6715328467153284
lodo,bert-LightGBM,author_seen_in_development,True,112,0.7321428571428571
lodo,bert-LightGBM,author_seen_in_fit_train,False,556,0.6744604316546763
lodo,bert-LightGBM,author_seen_in_fit_train,True,104,0.7211538461538461
lodo,bert-LogisticRegression,author_seen_in_development,False,548,0.718978102189781
lodo,bert-LogisticRegression,author_seen_in_development,True,112,0.7589285714285714
lodo,bert-LogisticRegression,author_seen_in_fit_train,False,556,0.7194244604316546
lodo,bert-LogisticRegression,author_seen_in_fit_train,True,104,0.7596153846153846
lodo,bert-RandomForest,author_seen_in_development,False,548,0.7025547445255474
lodo,bert-RandomForest,author_seen_in_development,True,112,0.7321428571428571
lodo,bert-RandomForest,author_seen_in_fit_train,False,556,0.7050359712230215
lodo,bert-RandomForest,author_seen_in_fit_train,True,104,0.7211538461538461
lodo,bert-SVC,author_seen_in_development,False,548,0.708029197080292
lodo,bert-SVC,author_seen_in_development,True,112,0.75
lodo,bert-SVC,author_seen_in_fit_train,False,556,0.7086330935251799
lodo,bert-SVC,author_seen_in_fit_train,True,104,0.75
lodo,bert-XGBoost,author_seen_in_development,False,548,0.7171532846715328
lodo,bert-XGBoost,author_seen_in_development,True,112,0.7053571428571429
lodo,bert-XGBoost,author_seen_in_fit_train,False,556,0.7176258992805755
lodo,bert-XGBoost,author_seen_in_fit_train,True,104,0.7019230769230769
lodo,bert_llm-LogisticRegression,author_seen_in_development,False,548,0.75
lodo,bert_llm-LogisticRegression,author_seen_in_development,True,112,0.8303571428571429
lodo,bert_llm-LogisticRegression,author_seen_in_fit_train,False,556,0.7517985611510791
lodo,bert_llm-LogisticRegression,author_seen_in_fit_train,True,104,0.8269230769230769
lodo,bert_llm-RandomForest,author_seen_in_development,False,548,0.7116788321167883
lodo,bert_llm-RandomForest,author_seen_in_development,True,112,0.7678571428571429
