protocol,model,overlap_definition,accuracy_unseen,accuracy_seen,n_unseen,n_seen,accuracy_gap_seen_minus_unseen
lodo,bert-DecisionTree,author_seen_in_development,0.551094890510949,0.5803571428571429,548,112,0.02926225234619395
lodo,bert-DecisionTree,author_seen_in_fit_train,0.5539568345323741,0.5673076923076923,556,104,0.013350857775318192
lodo,bert-KNeighbors,author_seen_in_development,0.6405109489051095,0.6428571428571429,548,112,0.002346193952033393
lodo,bert-KNeighbors,author_seen_in_fit_train,0.6438848920863309,0.625,556,104,-0.01888489208633093
lodo,bert-LightGBM,author_seen_in_development,0.6715328467153284,0.7321428571428571,548,112,0.06061001042752867
lodo,bert-LightGBM,author_seen_in_fit_train,0.6744604316546763,0.7211538461538461,556,104,0.04669341449916986
lodo,bert-LogisticRegression,author_seen_in_development,0.718978102189781,0.7589285714285714,548,112,0.03995046923879042
lodo,bert-LogisticRegression,author_seen_in_fit_train,0.7194244604316546,0.7596153846153846,556,104,0.04019092418372994
lodo,bert-RandomForest,author_seen_in_development,0.7025547445255474,0.7321428571428571,548,112,0.029588112617309648
lodo,bert-RandomForest,author_seen_in_fit_train,0.7050359712230215,0.7211538461538461,556,104,0.016117874930824616
lodo,bert-SVC,author_seen_in_development,0.708029197080292,0.75,548,112,0.041970802919708006
lodo,bert-SVC,author_seen_in_fit_train,0.7086330935251799,0.75,556,104,0.04136690647482011
lodo,bert-XGBoost,author_seen_in_development,0.7171532846715328,0.7053571428571429,548,112,-0.011796141814389927
lodo,bert-XGBoost,author_seen_in_fit_train,0.7176258992805755,0.7019230769230769,556,104,-0.015702822357498647
lodo,bert_llm-LogisticRegression,author_seen_in_development,0.75,0.8303571428571429,548,112,0.0803571428571429
lodo,bert_llm-LogisticRegression,author_seen_in_fit_train,0.7517985611510791,0.8269230769230769,556,104,0.07512451577199775
lodo,bert_llm-RandomForest,author_seen_in_development,0.7116788321167883,0.7678571428571429,548,112,0.05617831074035462
lodo,bert_llm-RandomForest,author_seen_in_fit_train,0.7140287769784173,0.7596153846153846,556,104,0.04558660763696731
lodo,bert_llm-SVC,author_seen_in_development,0.7281021897810219,0.8035714285714286,548,112,0.07546923879040668
lodo,bert_llm-SVC,author_seen_in_fit_train,0.7320143884892086,0.7884615384615384,556,104,0.0564471499723298
lodo,bert_meta-LogisticRegression,author_seen_in_development,0.7445255474452555,0.8303571428571429,548,112,0.08583159541188745
lodo,bert_meta-LogisticRegression,author_seen_in_fit_train,0.7482014388489209,0.8173076923076923,556,104,0.06910625345877142
lodo,bert_meta-RandomForest,author_seen_in_development,0.7463503649635036,0.7767857142857143,548,112,0.030435349322210703
lodo,bert_meta-RandomForest,author_seen_in_fit_train,0.7482014388489209,0.7692307692307693,556,104,0.0210293303818484
lodo,bert_meta-SVC,author_seen_in_development,0.7208029197080292,0.8035714285714286,548,112,0.08276850886339937
lodo,bert_meta-SVC,author_seen_in_fit_train,0.7212230215827338,0.8076923076923077,556,104,0.08646928610957394
