split,feature_set,model,fold,n_test,seconds,n_trials,seeds_per_trial,accuracy,f1_weighted,f1_class0,f1_class1,auc_roc
temporal,tfidf,LogisticRegression,all,99,13.7,200,3,0.6666666666666666,0.6588660780768002,0.5822784810126582,0.7226890756302521,0.7176954732510288
lodo,tfidf,LogisticRegression,ambiente,22,13.5,200,3,0.5909090909090909,0.5900621118012422,0.5714285714285714,0.6086956521739131,0.7355371900826446
lodo,tfidf,LogisticRegression,outros,44,15.4,200,3,0.6818181818181818,0.6818181818181818,0.6666666666666666,0.6956521739130435,0.7163561076604554
lodo,tfidf,LogisticRegression,política,435,17.7,200,3,0.6,0.5957774741695842,0.5561224489795918,0.6359832635983264,0.6367114831726706
lodo,tfidf,LogisticRegression,celebridades,8,14.4,200,3,0.625,0.5636363636363637,0.7272727272727273,0.4,0.875
lodo,tfidf,LogisticRegression,saúde,143,16.3,200,3,0.5944055944055944,0.5944055944055944,0.5915492957746479,0.5972222222222222,0.6643192488262911
lodo,tfidf,LogisticRegression,economia,8,14.2,200,3,0.625,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.5625
lodo,tfidf,SVC,política,435,38.5,200,3,0.6045977011494252,0.5968107383985671,0.5425531914893617,0.6518218623481782,0.6361724167089464
temporal,tfidf,SVC,all,99,74.7,200,3,0.6565656565656566,0.6572682636512424,0.6382978723404256,0.6730769230769231,0.68559670781893
lodo,tfidf,SVC,outros,44,83.5,200,3,0.4772727272727273,0.3083916083916084,0.6461538461538462,0.0,0.256728778467909
lodo,tfidf,SVC,ambiente,22,85.6,200,3,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6776859504132231
lodo,tfidf,SVC,saúde,143,74.1,200,3,0.5314685314685315,0.3965788398015886,0.1066666666666666,0.6824644549763034,0.664906103286385
lodo,tfidf,SVC,celebridades,8,93.5,200,3,0.625,0.5636363636363637,0.7272727272727273,0.4,0.625
lodo,tfidf,SVC,economia,8,99.3,200,3,0.5,0.4666666666666667,0.6,0.3333333333333333,0.625
lodo,tfidf,RandomForest,política,435,101.5,200,3,0.5793103448275863,0.5695662353613259,0.5067385444743935,0.6332665330661322,0.6322932521562659
temporal,tfidf,RandomForest,all,99,244.6,200,3,0.7272727272727273,0.7278301667673155,0.7157894736842105,0.7378640776699029,0.7656378600823046
lodo,tfidf,RandomForest,ambiente,22,149.9,200,3,0.6818181818181818,0.6757894736842105,0.72,0.631578947368421,0.7272727272727273
lodo,tfidf,RandomForest,outros,44,180.8,200,3,0.6363636363636364,0.6363636363636364,0.6190476190476191,0.6521739130434783,0.7360248447204969
lodo,tfidf,RandomForest,saúde,143,228.3,200,3,0.5944055944055944,0.5932921979980804,0.6133333333333333,0.5735294117647058,0.6623630672926448
lodo,tfidf,RandomForest,celebridades,8,286.7,200,3,0.625,0.5636363636363637,0.7272727272727273,0.4,0.6875
lodo,tfidf,RandomForest,economia,8,296.7,200,3,0.625,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.625
temporal,tfidf,GradientBoosting,all,99,298.0,200,3,0.6565656565656566,0.6547115675022651,0.6046511627906976,0.6964285714285714,0.7240740740740742
lodo,tfidf,GradientBoosting,outros,44,222.0,200,3,0.5909090909090909,0.5857416267942583,0.5263157894736842,0.64,0.7215320910973085
