split,model,fold,n,n_correct,accuracy,ci_low,ci_high
lodo,bert-DecisionTree,ambiente,22,15,0.6818181818181818,0.47318597741042745,0.8363940681864375
lodo,bert-DecisionTree,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert-DecisionTree,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,bert-DecisionTree,outros,44,28,0.6363636363636364,0.48866376879043427,0.7621647029117982
lodo,bert-DecisionTree,política,435,232,0.5333333333333333,0.48636426915366615,0.5797188217145762
lodo,bert-DecisionTree,saúde,143,81,0.5664335664335665,0.4845226269394671,0.6448686236827472
lodo,bert-KNeighbors,ambiente,22,16,0.7272727272727273,0.5184826598759761,0.8684923971201054
lodo,bert-KNeighbors,celebridades,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,bert-KNeighbors,economia,8,7,0.875,0.5291118177871466,0.9775825085499434
lodo,bert-KNeighbors,outros,44,31,0.7045454545454546,0.5577979987383977,0.8184447088149512
lodo,bert-KNeighbors,política,435,275,0.632183908045977,0.5858959037480095,0.6761577324536415
lodo,bert-KNeighbors,saúde,143,89,0.6223776223776224,0.54069935326447,0.6976529505132932
lodo,bert-LightGBM,ambiente,22,16,0.7272727272727273,0.5184826598759761,0.8684923971201054
lodo,bert-LightGBM,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert-LightGBM,economia,8,4,0.5,0.2152160622138775,0.7847839377861225
lodo,bert-LightGBM,outros,44,33,0.75,0.6055943364104085,0.8542578617103512
lodo,bert-LightGBM,política,435,293,0.6735632183908046,0.6281460580703783,0.7159417598987462
lodo,bert-LightGBM,saúde,143,98,0.6853146853146853,0.6051988578954203,0.7557346306823355
lodo,bert-LogisticRegression,ambiente,22,19,0.8636363636363636,0.6666501283342827,0.9525099628594476
lodo,bert-LogisticRegression,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert-LogisticRegression,economia,8,4,0.5,0.2152160622138775,0.7847839377861225
lodo,bert-LogisticRegression,outros,44,36,0.8181818181818182,0.6803944911281533,0.9048719428437227
lodo,bert-LogisticRegression,política,435,313,0.7195402298850575,0.675544763870555,0.7596921449513176
lodo,bert-LogisticRegression,saúde,143,101,0.7062937062937062,0.627032516187624,0.7747613673234626
lodo,bert-RandomForest,ambiente,22,18,0.8181818181818182,0.6148339256287345,0.9269311541657794
lodo,bert-RandomForest,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert-RandomForest,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,bert-RandomForest,outros,44,36,0.8181818181818182,0.6803944911281533,0.9048719428437227
lodo,bert-RandomForest,política,435,308,0.7080459770114943,0.6636473466697681,0.7488022894389175
lodo,bert-RandomForest,saúde,143,94,0.6573426573426573,0.5763536012607213,0.7300993607392599
lodo,bert-SVC,ambiente,22,18,0.8181818181818182,0.6148339256287345,0.9269311541657794
lodo,bert-SVC,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert-SVC,economia,8,3,0.375,0.13684428582359737,0.6942576053973728
lodo,bert-SVC,outros,44,38,0.8636363636363636,0.7329054695148455,0.9359704550244413
lodo,bert-SVC,política,435,310,0.7126436781609196,0.6684023487048935,0.753162196489067
lodo,bert-SVC,saúde,143,97,0.6783216783216783,0.5979596608523551,0.7493536960809571
lodo,bert-XGBoost,ambiente,22,17,0.7727272727272727,0.5656004682477828,0.8987696001475148
lodo,bert-XGBoost,celebridades,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,bert-XGBoost,economia,8,4,0.5,0.2152160622138775,0.7847839377861225
lodo,bert-XGBoost,outros,44,35,0.7954545454545454,0.6549942193889834,0.8884674692991871
lodo,bert-XGBoost,política,435,309,0.7103448275862069,0.6660241931081206,0.7509828975432025
lodo,bert-XGBoost,saúde,143,102,0.7132867132867133,0.634350324994648,0.7810636901608823
lodo,bert_llm-LogisticRegression,ambiente,22,19,0.8636363636363636,0.6666501283342827,0.9525099628594476
lodo,bert_llm-LogisticRegression,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_llm-LogisticRegression,economia,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_llm-LogisticRegression,outros,44,37,0.8409090909090909,0.7063379493775939,0.9207332298779876
lodo,bert_llm-LogisticRegression,política,435,331,0.7609195402298851,0.7186644686445248,0.7986066219448212
lodo,bert_llm-LogisticRegression,saúde,143,105,0.7342657342657343,0.6564294556167081,0.7998449544721531
lodo,bert_llm-RandomForest,ambiente,22,16,0.7272727272727273,0.5184826598759761,0.8684923971201054
lodo,bert_llm-RandomForest,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_llm-RandomForest,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,bert_llm-RandomForest,outros,44,36,0.8181818181818182,0.6803944911281533,0.9048719428437227
lodo,bert_llm-RandomForest,política,435,314,0.7218390804597701,0.6779282506045747,0.7618661127599353
lodo,bert_llm-RandomForest,saúde,143,99,0.6923076923076923,0.6124571650588287,0.7620964551633705
lodo,bert_llm-SVC,ambiente,22,19,0.8636363636363636,0.6666501283342827,0.9525099628594476
lodo,bert_llm-SVC,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_llm-SVC,economia,8,4,0.5,0.2152160622138775,0.7847839377861225
lodo,bert_llm-SVC,outros,44,38,0.8636363636363636,0.7329054695148455,0.9359704550244413
lodo,bert_llm-SVC,política,435,319,0.7333333333333333,0.6898662575611243,0.7727153785165726
lodo,bert_llm-SVC,saúde,143,103,0.7202797202797203,0.6416887773064188,0.787345369493555
lodo,bert_meta-LogisticRegression,ambiente,22,18,0.8181818181818182,0.6148339256287345,0.9269311541657794
lodo,bert_meta-LogisticRegression,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_meta-LogisticRegression,economia,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_meta-LogisticRegression,outros,44,39,0.8863636363636364,0.760208475833917,0.9504721939890751
lodo,bert_meta-LogisticRegression,política,435,321,0.7379310344827587,0.694651264832413,0.777045280330559
lodo,bert_meta-LogisticRegression,saúde,143,111,0.7762237762237763,0.7012014143300711,0.8367937856254517
lodo,bert_meta-RandomForest,ambiente,22,17,0.7727272727272727,0.5656004682477828,0.8987696001475148
lodo,bert_meta-RandomForest,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_meta-RandomForest,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,bert_meta-RandomForest,outros,44,36,0.8181818181818182,0.6803944911281533,0.9048719428437227
lodo,bert_meta-RandomForest,política,435,329,0.7563218390804598,0.7138497182684664,0.7943064632356047
lodo,bert_meta-RandomForest,saúde,143,103,0.7202797202797203,0.6416887773064188,0.787345369493555
lodo,bert_meta-SVC,ambiente,22,18,0.8181818181818182,0.6148339256287345,0.9269311541657794
lodo,bert_meta-SVC,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_meta-SVC,economia,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_meta-SVC,outros,44,37,0.8409090909090909,0.7063379493775939,0.9207332298779876
lodo,bert_meta-SVC,política,435,313,0.7195402298850575,0.675544763870555,0.7596921449513176
lodo,bert_meta-SVC,saúde,143,105,0.7342657342657343,0.6564294556167081,0.7998449544721531
lodo,bert_num-LogisticRegression,ambiente,22,19,0.8636363636363636,0.6666501283342827,0.9525099628594476
lodo,bert_num-LogisticRegression,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_num-LogisticRegression,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,bert_num-LogisticRegression,outros,44,37,0.8409090909090909,0.7063379493775939,0.9207332298779876
lodo,bert_num-LogisticRegression,política,435,316,0.7264367816091954,0.6826993069493102,0.7662099655004747
lodo,bert_num-LogisticRegression,saúde,143,107,0.7482517482517482,0.6712585763255279,0.8122560970522203
lodo,bert_num-RandomForest,ambiente,22,17,0.7727272727272727,0.5656004682477828,0.8987696001475148
lodo,bert_num-RandomForest,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_num-RandomForest,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,bert_num-RandomForest,outros,44,36,0.8181818181818182,0.6803944911281533,0.9048719428437227
lodo,bert_num-RandomForest,política,435,328,0.7540229885057471,0.7114446626619961,0.7921540642994376
lodo,bert_num-RandomForest,saúde,143,106,0.7412587412587412,0.6638326864848716,0.8060618552484331
lodo,bert_num-SVC,ambiente,22,18,0.8181818181818182,0.6148339256287345,0.9269311541657794
lodo,bert_num-SVC,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,bert_num-SVC,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,bert_num-SVC,outros,44,41,0.9318181818181818,0.8177495562977846,0.9765406040926183
lodo,bert_num-SVC,política,435,316,0.7264367816091954,0.6826993069493102,0.7662099655004747
lodo,bert_num-SVC,saúde,143,109,0.7622377622377622,0.6861807750146998,0.8245741616519358
lodo,tfidf-DecisionTree,ambiente,22,12,0.5454545454545454,0.3465979532073493,0.7307970581918668
lodo,tfidf-DecisionTree,celebridades,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-DecisionTree,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-DecisionTree,outros,44,30,0.6818181818181818,0.5344310393781776,0.8000069228914658
lodo,tfidf-DecisionTree,política,435,234,0.5379310344827586,0.4909521878808876,0.5842458120726296
lodo,tfidf-DecisionTree,saúde,143,89,0.6223776223776224,0.54069935326447,0.6976529505132932
lodo,tfidf-GradientBoosting,ambiente,22,13,0.5909090909090909,0.38734818476315125,0.7674418380352814
lodo,tfidf-GradientBoosting,celebridades,8,6,0.75,0.40927543031016883,0.9285207872478909
lodo,tfidf-GradientBoosting,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-GradientBoosting,outros,44,26,0.5909090909090909,0.44409753741031893,0.7231214437245028
lodo,tfidf-GradientBoosting,política,435,246,0.5655172413793104,0.5185630944449444,0.6113243600202218
lodo,tfidf-GradientBoosting,saúde,143,92,0.6433566433566433,0.5620397199259571,0.717172978785137
lodo,tfidf-KNeighbors,ambiente,22,12,0.5454545454545454,0.3465979532073493,0.7307970581918668
lodo,tfidf-KNeighbors,celebridades,8,5,0.625,0.3057423946026273,0.8631557141764027
