model,n,acc_mean,acc_ci_low,acc_ci_high,f1_mean,f1_ci_low,f1_ci_high,auc_mean,auc_ci_low,auc_ci_high
bert-DecisionTree,99,0.7261717171717171,0.6363636363636364,0.8083333333333331,0.7264057304013304,0.6363636363636364,0.8101855740814341,0.6863896497261164,0.5734759451417476,0.7971444530627935
bert-KNeighbors,99,0.7174141414141415,0.6262626262626263,0.8080808080808081,0.7140988788784298,0.6235586176917133,0.806785464993377,0.8574581219488384,0.7774106348070445,0.9259513093289689
bert-LightGBM,99,0.7652020202020202,0.6767676767676768,0.8484848484848485,0.7656554227454723,0.6757261915930647,0.8487641390867198,0.8303814014737014,0.7393282459421878,0.9029947199265381
bert-LogisticRegression,99,0.7971818181818182,0.7171717171717171,0.8686868686868687,0.7974628064608058,0.7172279942279941,0.8692778856358783,0.8655791704015868,0.782162117379719,0.933186546053949
bert-RandomForest,99,0.8578282828282829,0.7878787878787878,0.9292929292929293,0.8581219971870364,0.787874430865085,0.9287979850105811,0.8755277474491259,0.7907926545652443,0.9460298969254795
bert-SVC,99,0.8376565656565655,0.7575757575757576,0.9090909090909091,0.8379454379101512,0.7583148701717368,0.90901668826601,0.8821373917707074,0.8048479342956694,0.9444557823129252
bert-XGBoost,99,0.7881313131313131,0.696969696969697,0.8686868686868687,0.7885714783965402,0.6975267379679145,0.8688209027088275,0.8597410188645074,0.7768527900085382,0.9315361220124891
bert_llm-LogisticRegression,99,0.8496666666666667,0.7777777777777778,0.9191919191919192,0.8499869202307839,0.7761711009158825,0.9190953654188948,0.9129988933544227,0.8425943289145292,0.9663688021237055
bert_llm-RandomForest,99,0.8467373737373737,0.7676767676767676,0.9191919191919192,0.8470121514998893,0.7698246312753632,0.918748408338236,0.8904981418544005,0.812075232635427,0.9549166839700997
bert_llm-SVC,99,0.8575757575757575,0.7878787878787878,0.9191919191919192,0.8578625210068502,0.7878787878787878,0.9197904975682752,0.9092494323247644,0.8434177740863787,0.9666714402618658
bert_meta-LogisticRegression,99,0.8283131313131313,0.7474747474747475,0.898989898989899,0.8282431198271358,0.7505676657105791,0.8990929705215419,0.882817306996387,0.8121775540706876,0.9466841338668364
bert_meta-RandomForest,99,0.8286060606060608,0.7474747474747475,0.898989898989899,0.8289502426026327,0.7496630698370949,0.8986172290996852,0.8930135566938786,0.8132874623507509,0.9590938718556464
bert_meta-SVC,99,0.7875050505050506,0.696969696969697,0.8585858585858586,0.7874616720666402,0.6980791749447882,0.8587599030526273,0.8709849806272378,0.7959081632653061,0.9357649804602691
bert_num-LogisticRegression,99,0.7970505050505051,0.7171717171717171,0.8686868686868687,0.7968707998244565,0.7155118587673867,0.8704895291979964,0.8766570665935209,0.7969746939663207,0.9470207820617993
bert_num-RandomForest,99,0.8295656565656566,0.7474747474747475,0.898989898989899,0.8299321649937983,0.7474552243390508,0.8992205446949104,0.8886391182629985,0.8097946644759598,0.9558131987017671
bert_num-SVC,99,0.7487474747474748,0.6666666666666666,0.8282828282828283,0.7491200265980977,0.6656426011264721,0.828458103542313,0.8703781064811403,0.7921437701358734,0.933883721901199
tfidf-DecisionTree,99,0.6874646464646464,0.5959595959595959,0.7676767676767676,0.6864067034177173,0.5942084422563083,0.7682330007751783,0.6578094632874795,0.5501964644600305,0.767986511465051
tfidf-GradientBoosting,99,0.6552323232323233,0.5555555555555556,0.7474747474747475,0.653273409529354,0.5514898989898989,0.7465356239021732,0.7242055383235834,0.6136432506887053,0.8240141588069205
tfidf-KNeighbors,99,0.5748080808080809,0.48484848484848486,0.6767676767676768,0.5357215331452954,0.42244422285136735,0.6418221821646086,0.6382251978320221,0.5273745704092729,0.7357047872340425
tfidf-LightGBM,99,0.666070707070707,0.5656565656565656,0.7575757575757576,0.6635863861277781,0.5647579634638908,0.755405466626397,0.6503769160839509,0.5315888248513846,0.7606269111937267
tfidf-LogisticRegression,99,0.6695252525252524,0.5757575757575758,0.7575757575757576,0.6615596994330663,0.5621093880603011,0.7549554386481381,0.7216423716212558,0.618512053090121,0.8212337027379399
tfidf-MultinomialNB,99,0.5744040404040404,0.47474747474747475,0.6666666666666666,0.5746879724631596,0.48009815487670005,0.6673117153852244,0.5987506075197403,0.49302373158756135,0.7046820156268911
tfidf-RandomForest,99,0.7278383838383838,0.6363636363636364,0.8083333333333331,0.7284695888218663,0.6390549934698871,0.8104964986050771,0.767314370058315,0.6676520893851368,0.8520331496036428
tfidf-SVC,99,0.6538585858585858,0.5555555555555556,0.7474747474747475,0.6545020676485217,0.5568991210785653,0.7487492101200898,0.681408088113061,0.5730787850023731,0.7824039264828738
tfidf-XGBoost,99,0.6173636363636363,0.5252525252525253,0.7070707070707071,0.6135249566166987,0.5193397156108273,0.7078327995401167,0.7159020047550212,0.6183175095304734,0.8133838819104372
