protocol,classifier,contrast,model_a,model_b,accuracy_a,accuracy_b,delta_accuracy,p_raw,p_holm,reject_at_0.05
lodo,LogisticRegression,numerical_vs_text,bert_num-LogisticRegression,bert-LogisticRegression,0.7424242424242424,0.7257575757575757,0.01666666666666672,0.3425805825718985,1.0,False
lodo,LogisticRegression,llm_vs_text,bert_llm-LogisticRegression,bert-LogisticRegression,0.7636363636363637,0.7257575757575757,0.037878787878787956,0.0165058557016076,0.1980702684192912,False
lodo,LogisticRegression,all_vs_text,bert_meta-LogisticRegression,bert-LogisticRegression,0.759090909090909,0.7257575757575757,0.033333333333333326,0.0923768458186002,0.8313916123674018,False
lodo,LogisticRegression,all_vs_numerical,bert_meta-LogisticRegression,bert_num-LogisticRegression,0.759090909090909,0.7424242424242424,0.016666666666666607,0.4158554937643102,1.0,False
lodo,LogisticRegression,all_vs_llm,bert_meta-LogisticRegression,bert_llm-LogisticRegression,0.759090909090909,0.7636363636363637,-0.00454545454545463,0.8508699225134507,1.0,False
lodo,SVC,numerical_vs_text,bert_num-SVC,bert-SVC,0.75,0.7151515151515152,0.034848484848484795,0.050487005985972,0.555357065845692,False
lodo,SVC,llm_vs_text,bert_llm-SVC,bert-SVC,0.740909090909091,0.7151515151515152,0.025757575757575757,0.0675492514590267,0.6754925145902669,False
lodo,SVC,all_vs_text,bert_meta-SVC,bert-SVC,0.7348484848484849,0.7151515151515152,0.019696969696969657,0.3382353307950119,1.0,False
lodo,SVC,all_vs_numerical,bert_meta-SVC,bert_num-SVC,0.7348484848484849,0.75,-0.015151515151515138,0.3583976321916263,1.0,False
lodo,SVC,all_vs_llm,bert_meta-SVC,bert_llm-SVC,0.7348484848484849,0.740909090909091,-0.0060606060606061,0.809072685188861,1.0,False
lodo,RandomForest,numerical_vs_text,bert_num-RandomForest,bert-RandomForest,0.7545454545454545,0.7075757575757575,0.046969696969696995,0.0003031634135584,0.0042442877898176,True
lodo,RandomForest,llm_vs_text,bert_llm-RandomForest,bert-RandomForest,0.7212121212121212,0.7075757575757575,0.013636363636363669,0.1627556574530899,1.0,False
lodo,RandomForest,all_vs_text,bert_meta-RandomForest,bert-RandomForest,0.7515151515151515,0.7075757575757575,0.043939393939393945,0.0002037218574078,0.003055827861117,True
lodo,RandomForest,all_vs_numerical,bert_meta-RandomForest,bert_num-RandomForest,0.7515151515151515,0.7545454545454545,-0.00303030303030305,0.8919231511047488,1.0,False
lodo,RandomForest,all_vs_llm,bert_meta-RandomForest,bert_llm-RandomForest,0.7515151515151515,0.7212121212121212,0.030303030303030276,0.0104548183218921,0.13591263818459728,False
temporal,LogisticRegression,numerical_vs_text,bert_num-LogisticRegression,bert-LogisticRegression,0.797979797979798,0.797979797979798,0.0,1.0,1.0,False
temporal,LogisticRegression,llm_vs_text,bert_llm-LogisticRegression,bert-LogisticRegression,0.8484848484848485,0.797979797979798,0.0505050505050505,0.266845703125,1.0,False
temporal,LogisticRegression,all_vs_text,bert_meta-LogisticRegression,bert-LogisticRegression,0.8282828282828283,0.797979797979798,0.030303030303030276,0.6072387695312499,1.0,False
temporal,LogisticRegression,all_vs_numerical,bert_meta-LogisticRegression,bert_num-LogisticRegression,0.8282828282828283,0.797979797979798,0.030303030303030276,0.25,1.0,False
temporal,LogisticRegression,all_vs_llm,bert_meta-LogisticRegression,bert_llm-LogisticRegression,0.8282828282828283,0.8484848484848485,-0.02020202020202022,0.7744140625,1.0,False
temporal,SVC,numerical_vs_text,bert_num-SVC,bert-SVC,0.7474747474747475,0.8383838383838383,-0.09090909090909083,0.0224609375,0.3369140625,False
temporal,SVC,llm_vs_text,bert_llm-SVC,bert-SVC,0.8585858585858586,0.8383838383838383,0.02020202020202022,0.6875,1.0,False
temporal,SVC,all_vs_text,bert_meta-SVC,bert-SVC,0.7878787878787878,0.8383838383838383,-0.0505050505050505,0.332305908203125,1.0,False
temporal,SVC,all_vs_numerical,bert_meta-SVC,bert_num-SVC,0.7878787878787878,0.7474747474747475,0.04040404040404033,0.454498291015625,1.0,False
temporal,SVC,all_vs_llm,bert_meta-SVC,bert_llm-SVC,0.7878787878787878,0.8585858585858586,-0.07070707070707072,0.1184692382812499,1.0,False
temporal,RandomForest,numerical_vs_text,bert_num-RandomForest,bert-RandomForest,0.8282828282828283,0.8585858585858586,-0.030303030303030276,0.375,1.0,False
temporal,RandomForest,llm_vs_text,bert_llm-RandomForest,bert-RandomForest,0.8484848484848485,0.8585858585858586,-0.010101010101010055,1.0,1.0,False
temporal,RandomForest,all_vs_text,bert_meta-RandomForest,bert-RandomForest,0.8282828282828283,0.8585858585858586,-0.030303030303030276,0.453125,1.0,False
temporal,RandomForest,all_vs_numerical,bert_meta-RandomForest,bert_num-RandomForest,0.8282828282828283,0.8282828282828283,0.0,1.0,1.0,False
temporal,RandomForest,all_vs_llm,bert_meta-RandomForest,bert_llm-RandomForest,0.8282828282828283,0.8484848484848485,-0.02020202020202022,0.7265625,1.0,False
