model_a,model_b,a_acc,b_acc,delta_acc,n,n10,n01,statistic,p_value
bert-DecisionTree,bert-KNeighbors,0.556060606060606,0.6409090909090909,-0.08484848484848484,660,88,144,88.0,0.00028688163945112487
bert-DecisionTree,bert-LightGBM,0.556060606060606,0.6818181818181818,-0.12575757575757573,660,68,151,68.0,2.0575233777983442e-08
bert-DecisionTree,bert-LogisticRegression,0.556060606060606,0.7257575757575757,-0.16969696969696968,660,74,186,74.0,2.6770763465262466e-12
bert-DecisionTree,bert-RandomForest,0.556060606060606,0.7075757575757575,-0.1515151515151515,660,67,167,67.0,4.938668140696229e-11
bert-DecisionTree,bert-SVC,0.556060606060606,0.7151515151515152,-0.15909090909090917,660,72,177,72.0,2.219278283181231e-11
bert-DecisionTree,bert-XGBoost,0.556060606060606,0.7151515151515152,-0.15909090909090917,660,68,173,68.0,9.86653995326759e-12
bert-DecisionTree,bert_llm-LogisticRegression,0.556060606060606,0.7636363636363637,-0.20757575757575764,660,48,185,48.0,3.685627496572293e-20
bert-DecisionTree,bert_llm-RandomForest,0.556060606060606,0.7212121212121212,-0.16515151515151516,660,65,174,65.0,1.143920213808124e-12
bert-DecisionTree,bert_llm-SVC,0.556060606060606,0.740909090909091,-0.18484848484848493,660,63,185,63.0,4.226012129708929e-15
bert-DecisionTree,bert_meta-LogisticRegression,0.556060606060606,0.759090909090909,-0.203030303030303,660,68,202,68.0,1.323529221443502e-16
bert-DecisionTree,bert_meta-RandomForest,0.556060606060606,0.7515151515151515,-0.19545454545454544,660,45,174,45.0,4.3021567891962207e-19
bert-DecisionTree,bert_meta-SVC,0.556060606060606,0.7348484848484849,-0.17878787878787883,660,81,199,81.0,1.2598593589333865e-12
bert-DecisionTree,bert_num-LogisticRegression,0.556060606060606,0.7424242424242424,-0.1863636363636364,660,60,183,60.0,1.1952098539147447e-15
bert-DecisionTree,bert_num-RandomForest,0.556060606060606,0.7545454545454545,-0.1984848484848485,660,57,188,57.0,1.5912368178114095e-17
bert-DecisionTree,bert_num-SVC,0.556060606060606,0.75,-0.19393939393939397,660,68,196,68.0,1.4794180173529946e-15
bert-DecisionTree,tfidf-DecisionTree,0.556060606060606,0.5681818181818182,-0.0121212121212122,660,155,163,155.0,0.6947235158086009
bert-DecisionTree,tfidf-GradientBoosting,0.556060606060606,0.5878787878787879,-0.03181818181818186,660,151,172,151.0,0.26575259405248153
bert-DecisionTree,tfidf-KNeighbors,0.556060606060606,0.5484848484848485,0.007575757575757569,660,180,175,175.0,0.831911870836365
bert-DecisionTree,tfidf-LightGBM,0.556060606060606,0.5636363636363636,-0.007575757575757569,660,166,171,166.0,0.8275519600013485
bert-DecisionTree,tfidf-LogisticRegression,0.556060606060606,0.6045454545454545,-0.048484848484848464,660,145,177,145.0,0.08390736553959426
bert-DecisionTree,tfidf-MultinomialNB,0.556060606060606,0.5984848484848485,-0.042424242424242475,660,150,178,150.0,0.13588577686901976
bert-DecisionTree,tfidf-RandomForest,0.556060606060606,0.5909090909090909,-0.034848484848484906,660,154,177,154.0,0.2265210511478113
bert-DecisionTree,tfidf-SVC,0.556060606060606,0.5803030303030303,-0.024242424242424288,660,137,153,137.0,0.3784410307775852
bert-DecisionTree,tfidf-XGBoost,0.556060606060606,0.5727272727272728,-0.01666666666666672,660,160,171,160.0,0.5826263292692676
bert-KNeighbors,bert-LightGBM,0.6409090909090909,0.6818181818181818,-0.040909090909090895,660,73,100,73.0,0.047756447681289727
bert-KNeighbors,bert-LogisticRegression,0.6409090909090909,0.7257575757575757,-0.08484848484848484,660,53,109,53.0,1.2874323447942747e-05
bert-KNeighbors,bert-RandomForest,0.6409090909090909,0.7075757575757575,-0.06666666666666665,660,45,89,45.0,0.00018013760354172793
bert-KNeighbors,bert-SVC,0.6409090909090909,0.7151515151515152,-0.07424242424242433,660,52,101,52.0,9.176460450517652e-05
bert-KNeighbors,bert-XGBoost,0.6409090909090909,0.7151515151515152,-0.07424242424242433,660,71,120,71.0,0.0004824523038258789
bert-KNeighbors,bert_llm-LogisticRegression,0.6409090909090909,0.7636363636363637,-0.1227272727272728,660,43,124,43.0,2.6714396498593266e-10
bert-KNeighbors,bert_llm-RandomForest,0.6409090909090909,0.7212121212121212,-0.08030303030303032,660,41,94,41.0,5.868552512697582e-06
bert-KNeighbors,bert_llm-SVC,0.6409090909090909,0.740909090909091,-0.10000000000000009,660,47,113,47.0,1.8769115180394497e-07
bert-KNeighbors,bert_meta-LogisticRegression,0.6409090909090909,0.759090909090909,-0.11818181818181817,660,71,149,71.0,1.5647063888289543e-07
bert-KNeighbors,bert_meta-RandomForest,0.6409090909090909,0.7515151515151515,-0.1106060606060606,660,33,106,33.0,3.979392264405063e-10
bert-KNeighbors,bert_meta-SVC,0.6409090909090909,0.7348484848484849,-0.09393939393939399,660,86,148,86.0,6.087468863169586e-05
bert-KNeighbors,bert_num-LogisticRegression,0.6409090909090909,0.7424242424242424,-0.10151515151515156,660,39,106,39.0,2.403002231061222e-08
bert-KNeighbors,bert_num-RandomForest,0.6409090909090909,0.7545454545454545,-0.11363636363636365,660,37,112,37.0,5.794051283240926e-10
bert-KNeighbors,bert_num-SVC,0.6409090909090909,0.75,-0.10909090909090913,660,64,136,64.0,3.9044677799164197e-07
bert-KNeighbors,tfidf-DecisionTree,0.6409090909090909,0.5681818181818182,0.07272727272727264,660,177,129,129.0,0.007115299119081968
bert-KNeighbors,tfidf-GradientBoosting,0.6409090909090909,0.5878787878787879,0.05303030303030298,660,157,122,122.0,0.0416053575561135
bert-KNeighbors,tfidf-KNeighbors,0.6409090909090909,0.5484848484848485,0.09242424242424241,660,206,145,145.0,0.0013288485987766204
bert-KNeighbors,tfidf-LightGBM,0.6409090909090909,0.5636363636363636,0.07727272727272727,660,206,155,155.0,0.008408713219954515
bert-KNeighbors,tfidf-LogisticRegression,0.6409090909090909,0.6045454545454545,0.036363636363636376,660,154,130,130.0,0.17220795051737062
bert-KNeighbors,tfidf-MultinomialNB,0.6409090909090909,0.5984848484848485,0.042424242424242364,660,166,138,138.0,0.12134572375746401
bert-KNeighbors,tfidf-RandomForest,0.6409090909090909,0.5909090909090909,0.04999999999999993,660,168,135,135.0,0.06583312646943151
bert-KNeighbors,tfidf-SVC,0.6409090909090909,0.5803030303030303,0.06060606060606055,660,158,118,118.0,0.018735990760254954
bert-KNeighbors,tfidf-XGBoost,0.6409090909090909,0.5727272727272728,0.06818181818181812,660,187,142,142.0,0.015148141332405793
bert-LightGBM,bert-LogisticRegression,0.6818181818181818,0.7257575757575757,-0.043939393939393945,660,44,73,44.0,0.009340760589436569
bert-LightGBM,bert-RandomForest,0.6818181818181818,0.7075757575757575,-0.025757575757575757,660,46,63,46.0,0.12500454132583336
bert-LightGBM,bert-SVC,0.6818181818181818,0.7151515151515152,-0.03333333333333344,660,46,68,46.0,0.048724686398681806
bert-LightGBM,bert-XGBoost,0.6818181818181818,0.7151515151515152,-0.03333333333333344,660,35,57,35.0,0.02801690195894671
bert-LightGBM,bert_llm-LogisticRegression,0.6818181818181818,0.7636363636363637,-0.0818181818181819,660,35,89,35.0,1.3391625040993677e-06
bert-LightGBM,bert_llm-RandomForest,0.6818181818181818,0.7212121212121212,-0.039393939393939426,660,40,66,40.0,0.01477941051703841
bert-LightGBM,bert_llm-SVC,0.6818181818181818,0.740909090909091,-0.059090909090909194,660,42,81,42.0,0.0005560923592546726
bert-LightGBM,bert_meta-LogisticRegression,0.6818181818181818,0.759090909090909,-0.07727272727272727,660,59,110,59.0,0.0001074260916838658
bert-LightGBM,bert_meta-RandomForest,0.6818181818181818,0.7515151515151515,-0.0696969696969697,660,34,80,34.0,1.9596368034800084e-05
bert-LightGBM,bert_meta-SVC,0.6818181818181818,0.7348484848484849,-0.053030303030303094,660,80,115,80.0,0.014688427213765173
bert-LightGBM,bert_num-LogisticRegression,0.6818181818181818,0.7424242424242424,-0.06060606060606066,660,51,91,51.0,0.0009948396502908413
bert-LightGBM,bert_num-RandomForest,0.6818181818181818,0.7545454545454545,-0.07272727272727275,660,34,82,34.0,9.685884063140466e-06
bert-LightGBM,bert_num-SVC,0.6818181818181818,0.75,-0.06818181818181823,660,61,106,61.0,0.0006186947801814256
bert-LightGBM,tfidf-DecisionTree,0.6818181818181818,0.5681818181818182,0.11363636363636354,660,176,101,101.0,7.748910264239206e-06
bert-LightGBM,tfidf-GradientBoosting,0.6818181818181818,0.5878787878787879,0.09393939393939388,660,159,97,97.0,0.00012832478503972246
bert-LightGBM,tfidf-KNeighbors,0.6818181818181818,0.5484848484848485,0.1333333333333333,660,193,105,105.0,3.869487699206979e-07
bert-LightGBM,tfidf-LightGBM,0.6818181818181818,0.5636363636363636,0.11818181818181817,660,194,116,116.0,1.1071899227001324e-05
bert-LightGBM,tfidf-LogisticRegression,0.6818181818181818,0.6045454545454545,0.07727272727272727,660,138,87,87.0,0.000819738411786253
bert-LightGBM,tfidf-MultinomialNB,0.6818181818181818,0.5984848484848485,0.08333333333333326,660,155,100,100.0,0.0006904769079952438
bert-LightGBM,tfidf-RandomForest,0.6818181818181818,0.5909090909090909,0.09090909090909083,660,163,103,103.0,0.00028181321798641
bert-LightGBM,tfidf-SVC,0.6818181818181818,0.5803030303030303,0.10151515151515145,660,161,94,94.0,3.247952843546111e-05
bert-LightGBM,tfidf-XGBoost,0.6818181818181818,0.5727272727272728,0.10909090909090902,660,180,108,108.0,2.6206971489420284e-05
bert-LogisticRegression,bert-RandomForest,0.7257575757575757,0.7075757575757575,0.018181818181818188,660,44,32,32.0,0.20673684180839247
bert-LogisticRegression,bert-SVC,0.7257575757575757,0.7151515151515152,0.010606060606060508,660,19,12,12.0,0.28104151505976915
bert-LogisticRegression,bert-XGBoost,0.7257575757575757,0.7151515151515152,0.010606060606060508,660,52,45,45.0,0.5426101580458745
bert-LogisticRegression,bert_llm-LogisticRegression,0.7257575757575757,0.7636363636363637,-0.037878787878787956,660,38,63,38.0,0.0165058557016076
bert-LogisticRegression,bert_llm-RandomForest,0.7257575757575757,0.7212121212121212,0.004545454545454519,660,40,37,37.0,0.8198929037490488
bert-LogisticRegression,bert_llm-SVC,0.7257575757575757,0.740909090909091,-0.015151515151515249,660,37,47,37.0,0.3261341711919829
bert-LogisticRegression,bert_meta-LogisticRegression,0.7257575757575757,0.759090909090909,-0.033333333333333326,660,67,89,67.0,0.09237684581860021
bert-LogisticRegression,bert_meta-RandomForest,0.7257575757575757,0.7515151515151515,-0.025757575757575757,660,41,58,41.0,0.10735158653318885
bert-LogisticRegression,bert_meta-SVC,0.7257575757575757,0.7348484848484849,-0.00909090909090915,660,76,82,76.0,0.6909249767024592
bert-LogisticRegression,bert_num-LogisticRegression,0.7257575757575757,0.7424242424242424,-0.01666666666666672,660,50,61,50.0,0.3425805825718985
bert-LogisticRegression,bert_num-RandomForest,0.7257575757575757,0.7545454545454545,-0.028787878787878807,660,38,57,38.0,0.064212806627131
bert-LogisticRegression,bert_num-SVC,0.7257575757575757,0.75,-0.024242424242424288,660,59,75,59.0,0.19485665950707523
bert-LogisticRegression,tfidf-DecisionTree,0.7257575757575757,0.5681818181818182,0.15757575757575748,660,193,89,89.0,5.526713405022721e-10
bert-LogisticRegression,tfidf-GradientBoosting,0.7257575757575757,0.5878787878787879,0.13787878787878782,660,172,81,81.0,1.0722699100477494e-08
