model,split,macro_acc,ci_low,ci_high,n_folds
bert-DecisionTree,lodo,0.6321581196581195,0.5788752913752914,0.6911616161616161,6
bert-KNeighbors,lodo,0.697729952040297,0.6378205128205129,0.7803030303030303,6
bert-LightGBM,lodo,0.6810251051630362,0.6014796506175817,0.7354312354312356,6
bert-LogisticRegression,lodo,0.7262753529994909,0.6217948717948718,0.8055367166358547,6
bert-RandomForest,lodo,0.7294587117862981,0.6679778554778556,0.7884622082897946,6
bert-SVC,lodo,0.6996305897167967,0.5675283169895239,0.8030640456287007,6
bert-XGBoost,lodo,0.6861355598424564,0.6051332288401253,0.7595088819226751,6
bert_llm-LogisticRegression,lodo,0.7832884548401791,0.7465751681268923,0.8237896203413445,6
bert_llm-RandomForest,lodo,0.7224335530370013,0.6747936928971412,0.7697820378854862,6
bert_llm-SVC,lodo,0.7384809634809635,0.6362082362082363,0.8229797979797979,6
bert_meta-LogisticRegression,lodo,0.7864500442086649,0.7499584036653002,0.8295454545454546,6
bert_meta-RandomForest,lodo,0.7404184417115451,0.6889467955416231,0.7839818443051202,6
bert_meta-SVC,lodo,0.7688161455402835,0.7370562387803767,0.8068181818181818,6
bert_num-LogisticRegression,lodo,0.7590389974010664,0.696551724137931,0.8177511186131876,6
bert_num-RandomForest,lodo,0.7435318034455966,0.69195837687217,0.7854319052594915,6
bert_num-SVC,lodo,0.7689457573078263,0.7009032634032634,0.8410611419232108,6
tfidf-DecisionTree,lodo,0.6062635640221847,0.5677708785467406,0.643502331002331,6
tfidf-GradientBoosting,lodo,0.6276153444256892,0.5869544248854593,0.6818181818181818,6
tfidf-KNeighbors,lodo,0.5599405862336897,0.5163799801730836,0.6040032871821664,6
tfidf-LightGBM,lodo,0.5989252605631916,0.5466300940438872,0.6496467911877393,6
tfidf-LogisticRegression,lodo,0.6195221445221445,0.5986888111888112,0.6477272727272726,6
tfidf-MultinomialNB,lodo,0.6138024810438604,0.5950046218149667,0.6363636363636364,6
tfidf-RandomForest,lodo,0.623649626235833,0.5995719797443936,0.6502039627039626,6
tfidf-SVC,lodo,0.5624504327090533,0.5128205128205129,0.6132016283524905,6
tfidf-XGBoost,lodo,0.5996593923318061,0.5511327214452214,0.6467329545454544,6
bert-DecisionTree,temporal,0.7261717171717171,0.6363636363636364,0.8083333333333331,1
bert-KNeighbors,temporal,0.7174141414141415,0.6262626262626263,0.8080808080808081,1
bert-LightGBM,temporal,0.7652020202020202,0.6767676767676768,0.8484848484848485,1
bert-LogisticRegression,temporal,0.7971818181818182,0.7171717171717171,0.8686868686868687,1
bert-RandomForest,temporal,0.8578282828282829,0.7878787878787878,0.9292929292929293,1
bert-SVC,temporal,0.8376565656565655,0.7575757575757576,0.9090909090909091,1
bert-XGBoost,temporal,0.7881313131313131,0.696969696969697,0.8686868686868687,1
bert_llm-LogisticRegression,temporal,0.8496666666666667,0.7777777777777778,0.9191919191919192,1
bert_llm-RandomForest,temporal,0.8467373737373737,0.7676767676767676,0.9191919191919192,1
bert_llm-SVC,temporal,0.8575757575757575,0.7878787878787878,0.9191919191919192,1
bert_meta-LogisticRegression,temporal,0.8283131313131313,0.7474747474747475,0.898989898989899,1
bert_meta-RandomForest,temporal,0.8286060606060608,0.7474747474747475,0.898989898989899,1
bert_meta-SVC,temporal,0.7875050505050506,0.696969696969697,0.8585858585858586,1
bert_num-LogisticRegression,temporal,0.7970505050505051,0.7171717171717171,0.8686868686868687,1
bert_num-RandomForest,temporal,0.8295656565656566,0.7474747474747475,0.898989898989899,1
bert_num-SVC,temporal,0.7487474747474748,0.6666666666666666,0.8282828282828283,1
tfidf-DecisionTree,temporal,0.6874646464646464,0.5959595959595959,0.7676767676767676,1
tfidf-GradientBoosting,temporal,0.6552323232323233,0.5555555555555556,0.7474747474747475,1
tfidf-KNeighbors,temporal,0.5748080808080809,0.48484848484848486,0.6767676767676768,1
tfidf-LightGBM,temporal,0.666070707070707,0.5656565656565656,0.7575757575757576,1
tfidf-LogisticRegression,temporal,0.6695252525252524,0.5757575757575758,0.7575757575757576,1
tfidf-MultinomialNB,temporal,0.5744040404040404,0.47474747474747475,0.6666666666666666,1
tfidf-RandomForest,temporal,0.7278383838383838,0.6363636363636364,0.8083333333333331,1
tfidf-SVC,temporal,0.6538585858585858,0.5555555555555556,0.7474747474747475,1
tfidf-XGBoost,temporal,0.6173636363636363,0.5252525252525253,0.7070707070707071,1
