model_a,model_b,a_acc,b_acc,delta_acc,n,n10,n01,statistic,p_value
bert-DecisionTree,bert-KNeighbors,0.7272727272727273,0.7171717171717171,0.010101010101010166,99,17,16,16.0,1.0
bert-DecisionTree,bert-LightGBM,0.7272727272727273,0.7676767676767676,-0.04040404040404033,99,11,15,11.0,0.557197093963623
bert-DecisionTree,bert-LogisticRegression,0.7272727272727273,0.797979797979798,-0.07070707070707072,99,9,16,9.0,0.2295229434967041
bert-DecisionTree,bert-RandomForest,0.7272727272727273,0.8585858585858586,-0.13131313131313127,99,5,18,5.0,0.010622024536132812
bert-DecisionTree,bert-SVC,0.7272727272727273,0.8383838383838383,-0.11111111111111105,99,7,18,7.0,0.043285250663757324
bert-DecisionTree,bert-XGBoost,0.7272727272727273,0.7878787878787878,-0.06060606060606055,99,11,17,11.0,0.34492845088243484
bert-DecisionTree,bert_llm-LogisticRegression,0.7272727272727273,0.8484848484848485,-0.12121212121212122,99,6,18,6.0,0.022655844688415527
bert-DecisionTree,bert_llm-RandomForest,0.7272727272727273,0.8484848484848485,-0.12121212121212122,99,6,18,6.0,0.022655844688415527
bert-DecisionTree,bert_llm-SVC,0.7272727272727273,0.8585858585858586,-0.13131313131313127,99,5,18,5.0,0.010622024536132812
bert-DecisionTree,bert_meta-LogisticRegression,0.7272727272727273,0.8282828282828283,-0.101010101010101,99,9,19,9.0,0.08715855330228806
bert-DecisionTree,bert_meta-RandomForest,0.7272727272727273,0.8282828282828283,-0.101010101010101,99,7,17,7.0,0.06391465663909912
bert-DecisionTree,bert_meta-SVC,0.7272727272727273,0.7878787878787878,-0.06060606060606055,99,11,17,11.0,0.34492845088243484
bert-DecisionTree,bert_num-LogisticRegression,0.7272727272727273,0.797979797979798,-0.07070707070707072,99,11,18,11.0,0.26493089646101
bert-DecisionTree,bert_num-RandomForest,0.7272727272727273,0.8282828282828283,-0.101010101010101,99,7,17,7.0,0.06391465663909912
bert-DecisionTree,bert_num-SVC,0.7272727272727273,0.7474747474747475,-0.02020202020202022,99,12,14,12.0,0.8450189828872681
bert-DecisionTree,tfidf-DecisionTree,0.7272727272727273,0.6868686868686869,0.04040404040404044,99,19,15,15.0,0.6075913612730801
bert-DecisionTree,tfidf-GradientBoosting,0.7272727272727273,0.6565656565656566,0.07070707070707072,99,19,12,12.0,0.28104151505976915
bert-DecisionTree,tfidf-KNeighbors,0.7272727272727273,0.5757575757575758,0.1515151515151515,99,28,13,13.0,0.027533155829587486
bert-DecisionTree,tfidf-LightGBM,0.7272727272727273,0.6666666666666666,0.06060606060606066,99,21,15,15.0,0.4050322461407632
bert-DecisionTree,tfidf-LogisticRegression,0.7272727272727273,0.6666666666666666,0.06060606060606066,99,15,9,9.0,0.30745625495910645
bert-DecisionTree,tfidf-MultinomialNB,0.7272727272727273,0.5757575757575758,0.1515151515151515,99,26,11,11.0,0.020073851919732988
bert-DecisionTree,tfidf-RandomForest,0.7272727272727273,0.7272727272727273,0.0,99,12,12,12.0,1.0
bert-DecisionTree,tfidf-SVC,0.7272727272727273,0.6565656565656566,0.07070707070707072,99,18,11,11.0,0.26493089646101
bert-DecisionTree,tfidf-XGBoost,0.7272727272727273,0.6161616161616161,0.11111111111111116,99,26,15,15.0,0.11727520595741225
bert-KNeighbors,bert-LightGBM,0.7171717171717171,0.7676767676767676,-0.0505050505050505,99,8,13,8.0,0.38331031799316406
bert-KNeighbors,bert-LogisticRegression,0.7171717171717171,0.797979797979798,-0.08080808080808088,99,7,15,7.0,0.13380050659179688
bert-KNeighbors,bert-RandomForest,0.7171717171717171,0.8585858585858586,-0.14141414141414144,99,2,16,2.0,0.001312255859375
